"","date","site","site_sampled","survey_period","ID","quadrant","length_mm","app_gosner","distance_from_shore_cm","depth_captured_cm","surface_temp","swabbed","Bd","GE_load","tail_short","record_type","amb_temp","adult_location","weight_g","SVL_mm","sex","elevation","Bd_binary","mean_temp","min_temp","max_temp","raw_count","species_richness","shannon_index"
"45","4/10/2022",47,23,1,"A45",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",2,30,"Male",1169,0,NA,NA,NA,NA,NA,NA
"46","4/10/2022",47,23,1,"A46",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",3,33,"Male",1169,0,NA,NA,NA,NA,NA,NA
"47","4/10/2022",47,23,1,"A47",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",25,31,"Male",1169,0,NA,NA,NA,NA,NA,NA
"48","4/10/2022",47,23,1,"A48",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",32,32,"Male",1169,0,NA,NA,NA,NA,NA,NA
"49","4/10/2022",47,23,1,"A49",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.1,"In grass tussocks next to water",28,29,"Male",1169,1,NA,NA,NA,NA,NA,NA
"50","4/10/2022",47,23,1,"A50",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",275,31,"Male",1169,0,NA,NA,NA,NA,NA,NA
"51","4/10/2022",47,23,1,"A51",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",21,28,"Male",1169,0,NA,NA,NA,NA,NA,NA
"52","4/10/2022",47,23,1,"A52",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",18,28,"Male",1169,0,NA,NA,NA,NA,NA,NA
"53","4/10/2022",47,23,1,"A53",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",39,35,"Female",1169,0,NA,NA,NA,NA,NA,NA
"54","4/10/2022",47,23,1,"A54",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",6,37,"Female",1169,0,NA,NA,NA,NA,NA,NA
"55","4/10/2022",47,23,1,"A55",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",6,40,"Female",1169,0,NA,NA,NA,NA,NA,NA
"56","4/10/2022",47,23,1,"A56",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",45,39,"Female",1169,0,NA,NA,NA,NA,NA,NA
"57","4/10/2022",47,23,1,"A57",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",25,28,"Male",1169,0,NA,NA,NA,NA,NA,NA
"58","4/10/2022",47,23,1,"A58",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",4,36,"Female",1169,0,NA,NA,NA,NA,NA,NA
"59","4/10/2022",47,23,1,"A59",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",6,40,"Female",1169,0,NA,NA,NA,NA,NA,NA
"60","4/10/2022",47,23,1,"A60",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",25,28,"Male",1169,0,NA,NA,NA,NA,NA,NA
"61","4/10/2022",47,23,1,"A61",NA,NA,NA,NA,NA,NA,NA,"Positive",0,NA,"Adult",14.1,"In grass tussocks next to water",35,32,"Male",1169,1,NA,NA,NA,NA,NA,NA
"62","4/10/2022",47,23,1,"A62",NA,NA,NA,NA,NA,NA,NA,"Negative",0,NA,"Adult",14.1,"In grass tussocks next to water",35,28,"Male",1169,0,NA,NA,NA,NA,NA,NA
